,0
112,-324.7578539549667
113,-316.96032484966025
114,-297.29678222100847
115,-313.90898056591277
116,-305.770368126053
117,-334.4404413929393
118,-335.3703278286151
119,-350.9783429043291
120,-339.87374557357725
121,-367.9125642320018
122,-378.9855414058612
123,-353.75059973496883
124,-341.3902171097952
125,-331.7239612433693
126,-311.4468502847988
127,-304.41446775387834
128,-274.4924366753874
129,-273.20352473664457
130,-271.01984324284206
131,-279.5899986748338
132,-288.32443158376617
133,-297.66941817894775
134,-327.71590628950634
135,-320.02100001377323
136,-349.71575081685114
137,-353.2303226982571
138,-368.0858049961463
139,-380.5075512925223
140,-403.65224346794656
141,-439.4119142913604
142,-420.71591566491776
143,-440.6568632964518
144,-433.6832520833032
145,-426.98045158550696
146,-454.42512192917167
147,-446.54218921933773
148,-451.08301865663316
149,-445.5175133887839
150,-463.25830643741494
151,-486.1350796016227
152,-510.8796928438386
153,-485.7071034844732
154,-487.89834396040715
155,-488.4056440016575
156,-486.47762026944866
157,-511.0424069194901
158,-512.68745237905
159,-509.66995770384506
160,-507.8451406824355
161,-508.3513603387865
162,-519.9733920434919
163,-481.38002267506823
164,-470.56123621938326
165,-469.28037820638957
166,-484.45015924229034
167,-485.2499248730892
168,-509.184901019226
169,-508.2688706659601
170,-494.2466859241333
171,-495.05409005819865
172,-483.7001125989971
173,-485.4225215259338
174,-486.6469882838506
175,-475.3849098867834
176,-488.71476066747044
177,-477.41416549401777
178,-470.28478552903084
179,-481.9006486527123
180,-483.8112076330974
181,-471.32884920935345
182,-461.7558544939263
183,-462.93713378652376
184,-465.5999585483477
185,-456.59181405725764
186,-460.39555434542825
187,-475.6955085333369
188,-464.7723606078473
189,-454.4542264887802
190,-444.9392818345767
191,-442.09929164648395
192,-447.8707622129487
193,-452.0791854405506
194,-470.057824984289
195,-472.68054718225693
196,-499.2475572804625
197,-450.44797619966005
198,-455.38191387089984
199,-471.0636796347477
200,-449.8348777316086
201,-455.80523726880205
202,-460.2193209094869
203,-466.6779065503699
204,-445.94049995284865
205,-463.5325658276649
206,-466.0369623872131
207,-457.5882552337897
208,-471.1544633187294
209,-473.8239587567545
210,-499.1445223012457
211,-493.9892837469399
212,-495.2701127938783
213,-483.91833964849917
214,-472.00944018693195
215,-487.1915960442112
216,-500.3611143560858
217,-512.5500901551402
218,-511.6252103654658
219,-510.5283061145584
220,-509.34812311732753
221,-496.08436528579375
222,-483.71984585261606
223,-461.0535671529685
224,-471.25875892191107
225,-451.9123574692204
226,-451.6970582527125
227,-470.49723908306987
228,-461.1624226490512
229,-465.3633401979406
230,-481.1386608087971
231,-480.9192760295855
232,-468.582476732139
233,-446.666056665174
234,-486.88333964032626
235,-450.0404430975052
236,-441.0270824449706
237,-446.994150524178
238,-453.89812166806547
239,-420.476798019184
240,-403.19711547127105
241,-385.3834632672229
242,-359.05007131663984
243,-364.10536056420307
244,-340.4995533825263
245,-329.867768530713
246,-308.3153711204662
247,-314.3150920568929
248,-308.2914735963401
249,-342.5754563119484
250,-341.6466865597913
251,-355.1326821355723
252,-355.75271706878766
253,-413.5907718777111
254,-420.7090099938612
255,-428.3021871658868
256,-448.0111473801785
257,-474.47870970319934
258,-464.2292039693083
259,-491.10678185144695
260,-492.45900366152904
261,-506.02810283625524
262,-494.4883788357162
263,-482.3875670565783
264,-483.4229168848186
265,-473.41675218337264
266,-498.7127264119681
267,-494.3619965879083
268,-495.0895367166283
269,-508.35932429392454
270,-494.8219192333917
271,-504.0911606596169
272,-454.2363005135347
273,-446.6043225436715
274,-451.52536466886704
275,-430.775292575313
276,-412.6359986140521
277,-443.8729925311698
278,-412.53344106204054
279,-443.1678830803947
280,-447.6241365101174
281,-450.94080684307556
282,-430.39442870448016
283,-436.32497955039804
284,-441.3770299916587
285,-422.10066502318455
286,-417.14249396330905
287,-423.5206171909958
288,-393.71679973117773
289,-392.27361272949514
290,-402.29130273755914
291,-387.30704715258844
292,-372.5609750401071
293,-384.72507808860763
294,-371.68496028014926
295,-358.46366384155635
296,-334.6936177460528
297,-338.56483101440887
298,-342.1453591089624
299,-356.0966205723182
300,-343.1702448368464
301,-321.39832317400305
302,-326.9498704850756
303,-329.6162268225929
304,-350.8244687187177
305,-328.465244646671
306,-296.03346893788347
307,-303.1760340927498
308,-320.91645073083333
309,-339.23034900224565
310,-379.280651947257
311,-379.15082082174797
312,-402.5026278739397
313,-423.53368150042036
314,-406.68343097251073
315,-436.2175960827068
316,-441.56096952431227
317,-435.01308938391355
318,-474.0551314378578
319,-475.05044531635457
320,-512.1519876419288
321,-523.6352283688791
322,-518.8340757015194
323,-543.0161896455661
324,-501.3776352540991
325,-513.1519948831613
326,-489.9915136271199
327,-467.2871639501307
328,-446.3313026385864
329,-427.120754787998
330,-396.914470672409
331,-405.1966532792037
332,-414.43096909141207
333,-410.53766295682914
334,-423.22642252570097
335,-430.3806142175961
336,-411.9500761684194
337,-396.87240381463084
338,-420.78424881045555
339,-427.899286642368
340,-434.1579407528951
341,-453.21589860681684
342,-433.899965721851
343,-441.82431543188994
344,-439.42801872327095
345,-457.52186776244986
346,-461.239395703504
347,-474.02801652104046
348,-477.56673290830986
349,-479.2632453695842
350,-504.7413807262882
351,-528.617166732547
352,-514.4572887183157
353,-525.459894039936
354,-533.8400036409039
355,-543.0472356849739
356,-551.8122325769092
357,-547.3576868380085
358,-555.0881386906108
359,-549.2727235886211
360,-531.1999056144331
361,-527.7675668033794
362,-511.2296593207774
363,-492.0367925725995
364,-480.5890429006119
365,-457.667656459303
366,-412.0041390262081
367,-408.34405460397926
368,-380.2221449664439
369,-355.0785991486624
370,-369.65853284991005
371,-357.97616175534915
372,-366.14923511279807
373,-366.4998643462332
374,-342.5185492313611
375,-346.50716088817234
376,-324.3446298230479
377,-315.55158885903165
378,-308.24322271283114
379,-300.2307110310506
380,-295.1735515504035
381,-301.8942524517415
382,-334.15731550392036
383,-338.1361267555998
384,-317.1591874639003
385,-337.25951677213357
386,-341.0549953177605
387,-368.0008252208576
388,-379.62331479005985
389,-403.32105342585976
390,-400.09737451770155
391,-398.19269933271994
392,-420.4095490782837
393,-429.1938795000185
394,-424.34411197519427
395,-444.09425470992426
396,-449.95374701007324
397,-441.9224700494066
398,-436.3008216699195
399,-450.3126631939032
400,-455.59396432970044
