ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
209,38.1,35.3,31.1,26.9,22.7,10,8700,-5350,8900,-5150,2021/1/14 16:02
210,40.9,38.1,35.3,31.1,26.9,10,7700,-5850,8200,-5350,2021/1/14 16:03
211,40.9,40.9,38.1,35.3,31.1,10,7200,-6350,7700,-5850,2021/1/14 16:04
212,43.8,40.9,40.9,38.1,35.3,10,10000,-4550,7200,-6350,2021/1/14 16:05
213,46.6,43.8,40.9,40.9,38.1,10,10000,-4550,7000,-6500,2021/1/14 16:07
214,50.8,46.6,43.8,40.9,40.9,10,8000,-6000,8500,-5500,2021/1/14 16:07
215,350.3,357.3,0,3,5.8,10,10200,-5000,10000,-5000,2021/1/14 16:48
216,347.5,350.3,357.3,0,3,10,12250,-5000,12050,-5000,2021/1/14 16:48
217,344.7,347.5,350.3,357.3,0,10,12450,-5000,12250,-5000,2021/1/14 16:49
218,339.1,344.7,347.5,350.3,357.3,10,12650,-5000,12450,-5000,2021/1/14 16:50
219,337.7,339.1,344.7,347.5,350.3,10,12950,-5000,12450,-5000,2021/1/14 16:51
220,334.8,337.7,339.1,344.7,347.5,10,13450,-5000,12950,-5000,2021/1/14 16:52
221,332,334.8,337.7,339.1,344.7,10,13950,-4850,13450,-4850,2021/1/14 16:52
222,330.6,332,334.8,337.7,339.1,10,14450,-4850,13950,-4850,2021/1/14 16:53
223,329.2,330.6,332,334.8,337.7,10,14950,-4850,14450,-4850,2021/1/14 16:54
224,326.4,329.2,330.6,332,334.8,10,15450,-4850,14950,-4850,2021/1/14 16:56
225,329.2,326.4,329.2,330.6,332,10,15950,-4600,15450,-4600,2021/1/14 16:57
226,333.4,329.2,326.4,329.2,330.6,10,15950,-4600,15450,-4600,2021/1/14 16:57
227,336.2,333.4,329.2,326.4,329.2,10,15450,-4600,15450,-4600,2021/1/14 16:58
228,339.1,336.2,333.4,329.2,326.4,10,14950,-4800,15150,-4600,2021/1/14 16:59
229,344.7,339.1,336.2,333.4,329.2,10,11800,-4800,12000,-4600,2021/1/14 17:00
230,353.1,344.7,339.1,336.2,333.4,10,11200,-6200,11400,-6000,2021/1/14 17:01
231,357.3,353.1,344.7,339.1,336.2,10,11200,-6200,11400,-6000,2021/1/14 17:01
232,5.8,357.3,353.1,344.7,339.1,10,10000,-5000,9900,-6000,2021/1/14 17:02
233,22.7,5.8,357.3,353.1,344.7,10,9700,-6200,9900,-6000,2021/1/14 17:04
234,24.1,22.7,5.8,357.3,353.1,10,8400,-6400,8600,-6200,2021/1/14 17:05
235,32.5,24.1,22.7,5.8,357.3,10,8400,-6400,8600,-6200,2021/1/14 17:06
236,312.3,310.9,315.2,316.6,316.6,12,12700,-6000,12200,-6000,2021/1/14 17:57
