ID,tf5,tf4,tf3,tf2,tf1,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
44,36.7,33.9,32.5,31.1,29.7,10,7800,-7150,7800,-7150,2021/1/14 12:18,2021/1/14,12:18:00,44280
45,33.9,32.5,31.1,29.7,25.5,10,7800,-7150,7800,-7150,2021/1/14 12:20,2021/1/14,12:20:00,44400
46,32.5,31.1,29.7,25.5,22.7,10,8000,-6950,7800,-7150,2021/1/14 12:21,2021/1/14,12:21:00,44460
47,31.1,29.7,25.5,22.7,25.5,10,7800,-7150,8000,-6950,2021/1/14 12:22,2021/1/14,12:22:00,44520
48,29.7,25.5,22.7,25.5,25.5,10,7600,-7350,7800,-7150,2021/1/14 12:23,2021/1/14,12:23:00,44580
49,25.5,22.7,25.5,25.5,24.1,10,9350,-5350,7600,-7350,2021/1/14 12:23,2021/1/14,12:23:00,44580
50,22.7,25.5,25.5,24.1,22.7,10,9350,-5350,9350,-5350,2021/1/14 12:24,2021/1/14,12:24:00,44640
51,25.5,25.5,24.1,22.7,18.4,10,9350,-5350,9350,-5350,2021/1/14 12:25,2021/1/14,12:25:00,44700
52,25.5,24.1,22.7,18.4,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:26,2021/1/14,12:26:00,44760
53,24.1,22.7,18.4,19.8,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:27,2021/1/14,12:27:00,44820
54,22.7,18.4,19.8,19.8,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:28,2021/1/14,12:28:00,44880
55,18.4,19.8,19.8,14.2,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:29,2021/1/14,12:29:00,44940
56,19.8,19.8,14.2,8.6,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:30,2021/1/14,12:30:00,45000
57,19.8,14.2,8.6,8.6,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:31,2021/1/14,12:31:00,45060
58,14.2,8.6,8.6,12.8,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:32,2021/1/14,12:32:00,45120
59,8.6,8.6,12.8,14.2,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:32,2021/1/14,12:32:00,45120
60,8.6,12.8,14.2,12.8,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:33,2021/1/14,12:33:00,45180
61,12.8,14.2,12.8,8.6,10,10,9350,-5350,9350,-5350,2021/1/14 12:34,2021/1/14,12:34:00,45240
62,14.2,12.8,8.6,10,7.2,10,9350,-5350,9350,-5350,2021/1/14 12:35,2021/1/14,12:35:00,45300
63,12.8,8.6,10,7.2,4.4,10,9350,-5350,9350,-5350,2021/1/14 12:37,2021/1/14,12:37:00,45420
64,8.6,10,7.2,4.4,10,10,9350,-5350,9350,-5350,2021/1/14 12:37,2021/1/14,12:37:00,45420
65,10,7.2,4.4,10,11.4,10,9350,-5350,9350,-5350,2021/1/14 12:38,2021/1/14,12:38:00,45480
66,7.2,4.4,10,11.4,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:39,2021/1/14,12:39:00,45540
67,4.4,10,11.4,8.6,7.2,10,9350,-5350,9350,-5350,2021/1/14 12:40,2021/1/14,12:40:00,45600
68,10,11.4,8.6,7.2,5.8,90,9850,-5350,9350,-5350,2021/1/14 12:41,2021/1/14,12:41:00,45660
69,11.4,8.6,7.2,5.8,5.8,90,10350,-5350,9850,-5350,2021/1/14 12:41,2021/1/14,12:41:00,45660
70,8.6,7.2,5.8,5.8,8.6,10,9350,-5350,9850,-5350,2021/1/14 12:42,2021/1/14,12:42:00,45720
71,7.2,5.8,5.8,8.6,8.6,90,9850,-5350,9350,-5350,2021/1/14 12:43,2021/1/14,12:43:00,45780
72,5.8,5.8,8.6,8.6,8.6,90,10350,-5350,9850,-5350,2021/1/14 12:45,2021/1/14,12:45:00,45900
73,5.8,8.6,8.6,8.6,10,180,11350,-5350,10350,-5350,2021/1/14 12:46,2021/1/14,12:46:00,45960
74,15.6,14.2,21.3,22.7,25.5,10,11150,-5550,11350,-5350,2021/1/14 12:59,2021/1/14,12:59:00,46740
75,14.2,21.3,22.7,25.5,26.9,10,10950,-5750,11150,-5550,2021/1/14 13:01,2021/1/14,13:01:00,46860
76,21.3,22.7,25.5,26.9,29.7,10,10750,-5950,10950,-5750,2021/1/14 13:02,2021/1/14,13:02:00,46920
77,22.7,25.5,26.9,29.7,32.5,10,10550,-6150,10750,-5950,2021/1/14 13:03,2021/1/14,13:03:00,46980
78,25.5,26.9,29.7,32.5,32.5,10,10350,-6350,10550,-6150,2021/1/14 13:04,2021/1/14,13:04:00,47040
79,26.9,29.7,32.5,32.5,32.5,10,10150,-6550,10350,-6350,2021/1/14 13:04,2021/1/14,13:04:00,47040
80,29.7,32.5,32.5,32.5,38.1,10,9950,-6750,10150,-6550,2021/1/14 13:05,2021/1/14,13:05:00,47100
81,32.5,32.5,32.5,38.1,42.3,10,9450,-7250,9950,-6750,2021/1/14 13:06,2021/1/14,13:06:00,47160
82,32.5,32.5,38.1,42.3,40.9,10,8950,-7750,9450,-7250,2021/1/14 13:07,2021/1/14,13:07:00,47220
83,32.5,38.1,42.3,40.9,38.1,10,8750,-7950,8950,-7750,2021/1/14 13:08,2021/1/14,13:08:00,47280
84,38.1,42.3,40.9,38.1,42.3,10,11350,-5350,8750,-7950,2021/1/14 13:10,2021/1/14,13:10:00,47400
85,42.3,40.9,38.1,42.3,36.7,10,8750,-7950,8750,-7950,2021/1/14 13:10,2021/1/14,13:10:00,47400
86,40.9,38.1,42.3,36.7,35.3,10,8750,-7950,8750,-7950,2021/1/14 13:11,2021/1/14,13:11:00,47460
87,38.1,42.3,36.7,35.3,31.1,10,8950,-7750,8750,-7950,2021/1/14 13:12,2021/1/14,13:12:00,47520
88,42.3,36.7,35.3,31.1,40.9,10,8450,-8250,8950,-7750,2021/1/14 13:13,2021/1/14,13:13:00,47580
89,36.7,35.3,31.1,40.9,35.3,10,11350,-5350,8450,-8250,2021/1/14 13:13,2021/1/14,13:13:00,47580
90,35.3,31.1,40.9,35.3,38.1,10,11350,-5350,11350,-5350,2021/1/14 13:14,2021/1/14,13:14:00,47640
91,31.1,40.9,35.3,38.1,38.1,10,11150,-5550,11350,-5350,2021/1/14 13:15,2021/1/14,13:15:00,47700
92,40.9,35.3,38.1,38.1,35.3,10,10950,-5750,11150,-5550,2021/1/14 13:16,2021/1/14,13:16:00,47760
93,35.3,38.1,38.1,35.3,33.9,10,10950,-5750,10950,-5750,2021/1/14 13:18,2021/1/14,13:18:00,47880
94,38.1,38.1,35.3,33.9,35.3,10,10750,-5950,10950,-5750,2021/1/14 13:18,2021/1/14,13:18:00,47880
95,38.1,35.3,33.9,35.3,35.3,10,10550,-6150,10750,-5950,2021/1/14 13:19,2021/1/14,13:19:00,47940
96,35.3,33.9,35.3,35.3,29.7,10,10550,-6150,10550,-6150,2021/1/14 13:20,2021/1/14,13:20:00,48000
97,33.9,35.3,35.3,29.7,33.9,10,10350,-6350,10550,-6150,2021/1/14 13:21,2021/1/14,13:21:00,48060
98,35.3,35.3,29.7,33.9,33.9,10,10350,-6350,10550,-6150,2021/1/14 13:22,2021/1/14,13:22:00,48120
99,35.3,29.7,33.9,33.9,33.9,10,10350,-6350,10350,-6350,2021/1/14 13:22,2021/1/14,13:22:00,48120
100,29.7,33.9,33.9,33.9,31.1,10,10350,-6350,10350,-6350,2021/1/14 13:23,2021/1/14,13:23:00,48180
101,33.9,33.9,33.9,31.1,17,10,11350,-5350,10350,-6350,2021/1/14 13:24,2021/1/14,13:24:00,48240
102,33.9,33.9,31.1,17,35.3,10,10150,-6550,10350,-6350,2021/1/14 13:26,2021/1/14,13:26:00,48360
103,33.9,31.1,17,35.3,32.5,10,9950,-6750,10150,-6550,2021/1/14 13:27,2021/1/14,13:27:00,48420
104,31.1,17,35.3,32.5,31.1,10,10150,-6550,9950,-6750,2021/1/14 13:27,2021/1/14,13:27:00,48420
105,17,35.3,32.5,31.1,12.8,10,11350,-5350,10150,-6550,2021/1/14 13:28,2021/1/14,13:28:00,48480
106,35.3,32.5,31.1,12.8,7.2,10,11350,-5350,11200,-5350,2021/1/14 13:29,2021/1/14,13:29:00,48540
107,32.5,31.1,12.8,7.2,11.4,10,11350,-5350,11250,-5350,2021/1/14 13:30,2021/1/14,13:30:00,48600
108,31.1,12.8,7.2,11.4,7.2,10,11350,-5350,11350,-5350,2021/1/14 13:31,2021/1/14,13:31:00,48660
109,12.8,7.2,11.4,7.2,21.3,10,11150,-5550,11350,-5350,2021/1/14 13:31,2021/1/14,13:31:00,48660
110,7.2,11.4,7.2,21.3,8.6,10,11350,-5350,11150,-5550,2021/1/14 13:32,2021/1/14,13:32:00,48720
111,11.4,7.2,21.3,8.6,3,10,11350,-5350,11150,-5550,2021/1/14 13:34,2021/1/14,13:34:00,48840
112,7.2,21.3,8.6,3,5.8,10,11350,-5350,11300,-5550,2021/1/14 13:35,2021/1/14,13:35:00,48900
113,21.3,8.6,3,5.8,7.2,10,11350,-5350,11300,-5550,2021/1/14 13:36,2021/1/14,13:36:00,48960
114,8.6,3,5.8,7.2,0.2,10,11350,-5350,11300,-5550,2021/1/14 13:36,2021/1/14,13:36:00,48960
115,3,5.8,7.2,0.2,1.6,10,11350,-5350,11350,-5350,2021/1/14 13:37,2021/1/14,13:37:00,49020
116,5.8,7.2,0.2,1.6,3,10,11350,-5350,11350,-5350,2021/1/14 13:38,2021/1/14,13:38:00,49080
117,7.2,0.2,1.6,3,1.6,10,11350,-5350,11350,-5350,2021/1/14 13:39,2021/1/14,13:39:00,49140
118,0.2,1.6,3,1.6,0.2,10,11350,-5350,11350,-5350,2021/1/14 13:40,2021/1/14,13:40:00,49200
119,1.6,3,1.6,0.2,3,10,11350,-5350,11500,-5350,2021/1/14 13:40,2021/1/14,13:40:00,49200
120,3,1.6,0.2,3,4.4,10,11350,-5350,11500,-5350,2021/1/14 13:42,2021/1/14,13:42:00,49320
121,1.6,0.2,3,4.4,5.8,10,11350,-5350,11500,-5350,2021/1/14 13:43,2021/1/14,13:43:00,49380
122,0.2,3,4.4,5.8,0.2,10,11350,-5350,11500,-5350,2021/1/14 13:44,2021/1/14,13:44:00,49440
123,3,4.4,5.8,0.2,358.8,10,11900,-5350,11700,-5350,2021/1/14 13:45,2021/1/14,13:45:00,49500
124,4.4,5.8,0.2,358.8,0.2,10,11350,-5350,11900,-5350,2021/1/14 13:45,2021/1/14,13:45:00,49500
125,5.8,0.2,358.8,0.2,7.2,10,11350,-5350,11650,-5350,2021/1/14 13:46,2021/1/14,13:46:00,49560
126,0.2,358.8,0.2,7.2,5.8,10,11350,-5350,11550,-5350,2021/1/14 13:47,2021/1/14,13:47:00,49620
127,358.8,0.2,7.2,5.8,1.6,10,11350,-5350,11550,-5350,2021/1/14 13:48,2021/1/14,13:48:00,49680
128,0.2,7.2,5.8,1.6,353.1,10,11800,-5350,11600,-5350,2021/1/14 13:49,2021/1/14,13:49:00,49740
129,7.2,5.8,1.6,353.1,7.2,10,11350,-5350,11800,-5350,2021/1/14 13:51,2021/1/14,13:51:00,49860
130,5.8,1.6,353.1,7.2,5.8,10,11350,-5350,11800,-5350,2021/1/14 13:51,2021/1/14,13:51:00,49860
131,1.6,353.1,7.2,5.8,19.8,10,11600,-5550,11800,-5350,2021/1/14 13:52,2021/1/14,13:52:00,49920
132,353.1,7.2,5.8,19.8,5.8,10,11350,-5350,11600,-5550,2021/1/14 13:53,2021/1/14,13:53:00,49980
133,7.2,5.8,19.8,5.8,8.6,10,11350,-5350,11600,-5550,2021/1/14 13:54,2021/1/14,13:54:00,50040
134,5.8,19.8,5.8,8.6,4.4,10,11350,-5350,11600,-5550,2021/1/14 13:54,2021/1/14,13:54:00,50040
135,19.8,5.8,8.6,4.4,7.2,15,11350,-5350,11600,-5550,2021/1/14 13:55,2021/1/14,13:55:00,50100
136,5.8,8.6,4.4,7.2,8.6,15,11350,-5350,11600,-5550,2021/1/14 13:56,2021/1/14,13:56:00,50160
137,8.6,4.4,7.2,8.6,8.6,15,11350,-5350,11600,-5550,2021/1/14 13:57,2021/1/14,13:57:00,50220
138,4.4,7.2,8.6,8.6,358.8,15,11800,-5550,11600,-5550,2021/1/14 13:59,2021/1/14,13:59:00,50340
139,7.2,8.6,8.6,358.8,7.2,15,11350,-5350,11700,-5550,2021/1/14 13:59,2021/1/14,13:59:00,50340
140,8.6,8.6,358.8,7.2,4.4,15,11700,-5550,11700,-5550,2021/1/14 14:00,2021/1/14,14:00:00,50400
141,8.6,358.8,7.2,4.4,1.6,15,11900,-5550,11700,-5550,2021/1/14 14:01,2021/1/14,14:01:00,50460
142,358.8,7.2,4.4,1.6,5.8,17,12000,-5550,11800,-5550,2021/1/14 14:02,2021/1/14,14:02:00,50520
143,7.2,4.4,1.6,5.8,1.6,15,12000,-5550,11800,-5550,2021/1/14 14:03,2021/1/14,14:03:00,50580
144,4.4,1.6,5.8,1.6,357.3,15,12100,-5550,11900,-5550,2021/1/14 14:03,2021/1/14,14:03:00,50580
145,1.6,5.8,1.6,357.3,1.6,15,12200,-5550,12000,-5550,2021/1/14 14:04,2021/1/14,14:04:00,50640
146,5.8,1.6,357.3,1.6,1.6,15,12200,-5550,12000,-5550,2021/1/14 14:05,2021/1/14,14:05:00,50700
147,1.6,357.3,1.6,1.6,7.2,15,11350,-5350,12000,-5550,2021/1/14 14:07,2021/1/14,14:07:00,50820
148,357.3,1.6,1.6,7.2,10,15,11350,-5350,12000,-5550,2021/1/14 14:08,2021/1/14,14:08:00,50880
149,1.6,1.6,7.2,10,19.8,15,11350,-5350,11350,-5350,2021/1/14 14:09,2021/1/14,14:09:00,50940
150,1.6,7.2,10,19.8,10,15,11350,-5350,11350,-5350,2021/1/14 14:09,2021/1/14,14:09:00,50940
151,7.2,10,19.8,10,8.6,15,11350,-5350,11350,-5350,2021/1/14 14:10,2021/1/14,14:10:00,51000
152,10,19.8,10,8.6,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:11,2021/1/14,14:11:00,51060
153,19.8,10,8.6,12.8,10,15,11350,-5350,11350,-5350,2021/1/14 14:12,2021/1/14,14:12:00,51120
154,10,8.6,12.8,10,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:12,2021/1/14,14:12:00,51120
155,8.6,12.8,10,12.8,15.6,15,11350,-5350,11350,-5350,2021/1/14 14:13,2021/1/14,14:13:00,51180
156,12.8,10,12.8,15.6,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:15,2021/1/14,14:15:00,51300
157,10,12.8,15.6,12.8,17,15,11350,-5350,11350,-5350,2021/1/14 14:16,2021/1/14,14:16:00,51360
158,12.8,15.6,12.8,17,10,15,11350,-5350,11350,-5350,2021/1/14 14:17,2021/1/14,14:17:00,51420
159,15.6,12.8,17,10,17,15,11350,-5350,11350,-5350,2021/1/14 14:18,2021/1/14,14:18:00,51480
160,12.8,17,10,17,14.2,15,11350,-5350,11350,-5350,2021/1/14 14:18,2021/1/14,14:18:00,51480
161,17,10,17,14.2,15.6,15,11350,-5350,11350,-5350,2021/1/14 14:19,2021/1/14,14:19:00,51540
162,15.6,21.3,14.2,18.4,24.1,15,11350,-5350,11000,-5350,2021/1/14 14:26,2021/1/14,14:26:00,51960
163,21.3,14.2,18.4,24.1,21.3,10,11150,-5550,11350,-5350,2021/1/14 14:26,2021/1/14,14:26:00,51960
164,14.2,18.4,24.1,21.3,21.3,10,9800,-5750,10000,-5550,2021/1/14 14:27,2021/1/14,14:27:00,52020
165,18.4,24.1,21.3,21.3,22.7,10,9600,-5950,9800,-5750,2021/1/14 14:28,2021/1/14,14:28:00,52080
166,24.1,21.3,21.3,22.7,19.8,10,11350,-5350,9600,-5950,2021/1/14 14:29,2021/1/14,14:29:00,52140
167,21.3,21.3,22.7,19.8,19.8,10,11350,-5350,9600,-5950,2021/1/14 14:30,2021/1/14,14:30:00,52200
168,21.3,22.7,19.8,19.8,18.4,10,11350,-5350,9600,-5950,2021/1/14 14:31,2021/1/14,14:31:00,52260
169,22.7,19.8,19.8,18.4,19.8,10,11350,-5350,9600,-5950,2021/1/14 14:32,2021/1/14,14:32:00,52320
170,19.8,19.8,18.4,19.8,22.7,10,9400,-6150,9600,-5950,2021/1/14 14:33,2021/1/14,14:33:00,52380
171,19.8,18.4,19.8,22.7,25.5,10,9200,-6350,9400,-6150,2021/1/14 14:34,2021/1/14,14:34:00,52440
172,18.4,19.8,22.7,25.5,17,10,11350,-5350,9400,-6150,2021/1/14 14:35,2021/1/14,14:35:00,52500
173,19.8,22.7,25.5,17,25.5,10,9200,-6350,9400,-6150,2021/1/14 14:35,2021/1/14,14:35:00,52500
174,22.7,25.5,17,25.5,17,10,11350,-5350,9200,-6350,2021/1/14 14:36,2021/1/14,14:36:00,52560
175,25.5,17,25.5,17,22.7,10,9000,-5350,9000,-5350,2021/1/14 14:37,2021/1/14,14:37:00,52620
176,17,25.5,17,22.7,21.3,10,8800,-5550,9000,-5350,2021/1/14 14:38,2021/1/14,14:38:00,52680
177,25.5,17,22.7,21.3,15.6,10,11350,-5350,8800,-5550,2021/1/14 14:40,2021/1/14,14:40:00,52800
178,22.7,21.3,15.6,19.8,40.9,10,8300,-6050,8800,-5550,2021/1/14 14:41,2021/1/14,14:41:00,52860
179,270.2,303.9,318,315.2,289.8,10,9800,-5550,9300,-5550,2021/1/14 15:17,2021/1/14,15:17:00,55020
180,303.9,318,315.2,289.8,273,10,11300,-5050,10300,-5050,2021/1/14 15:18,2021/1/14,15:18:00,55080
181,318,315.2,289.8,273,258.9,10,11300,-5050,10300,-5050,2021/1/14 15:19,2021/1/14,15:19:00,55140
182,315.2,289.8,273,258.9,251.9,10,11800,-5050,10800,-5050,2021/1/14 15:20,2021/1/14,15:20:00,55200
183,289.8,273,258.9,251.9,242,10,13300,-4550,12300,-4550,2021/1/14 15:20,2021/1/14,15:20:00,55200
184,273,258.9,251.9,242,235,10,14300,-4550,13300,-4550,2021/1/14 15:21,2021/1/14,15:21:00,55260
185,258.9,251.9,242,235,229.4,10,15800,-4550,14800,-4550,2021/1/14 15:22,2021/1/14,15:22:00,55320
186,251.9,242,235,229.4,220.9,10,9300,-4550,15800,-4550,2021/1/14 15:23,2021/1/14,15:23:00,55380
187,239.2,249.1,254.7,254.7,257.5,10,11800,-4550,10800,-4550,2021/1/14 15:30,2021/1/14,15:30:00,55800
188,11.4,10,11.4,12.8,7.2,10,10000,-4550,10000,-4550,2021/1/14 15:43,2021/1/14,15:43:00,56580
189,10,11.4,12.8,7.2,5.8,10,10000,-4550,10000,-4550,2021/1/14 15:44,2021/1/14,15:44:00,56640
190,11.4,12.8,7.2,5.8,4.4,10,10000,-4550,10500,-4550,2021/1/14 15:45,2021/1/14,15:45:00,56700
191,12.8,7.2,5.8,4.4,1.6,10,10000,-4550,10500,-4050,2021/1/14 15:46,2021/1/14,15:46:00,56760
192,7.2,5.8,4.4,1.6,355.9,10,11700,-4050,11500,-4050,2021/1/14 15:47,2021/1/14,15:47:00,56820
193,5.8,4.4,1.6,355.9,355.9,10,12400,-3550,12200,-3550,2021/1/14 15:47,2021/1/14,15:47:00,56820
194,4.4,1.6,355.9,355.9,351.7,10,12600,-3550,12400,-3550,2021/1/14 15:48,2021/1/14,15:48:00,56880
195,1.6,355.9,355.9,351.7,347.5,10,13300,-3550,13100,-3550,2021/1/14 15:50,2021/1/14,15:50:00,57000
196,355.9,355.9,351.7,347.5,344.7,10,13300,-3550,13100,-3550,2021/1/14 15:51,2021/1/14,15:51:00,57060
197,355.9,351.7,347.5,344.7,344.7,10,13500,-3550,13300,-3550,2021/1/14 15:52,2021/1/14,15:52:00,57120
198,351.7,347.5,344.7,344.7,355.9,10,13300,-3750,13500,-3550,2021/1/14 15:52,2021/1/14,15:52:00,57120
199,347.5,344.7,344.7,355.9,1.6,10,10000,-4550,13300,-3750,2021/1/14 15:53,2021/1/14,15:53:00,57180
200,344.7,344.7,355.9,1.6,4.4,10,10000,-4550,12800,-4550,2021/1/14 15:54,2021/1/14,15:54:00,57240
201,344.7,355.9,1.6,4.4,7.2,10,10000,-4550,10000,-4550,2021/1/14 15:55,2021/1/14,15:55:00,57300
202,355.9,1.6,4.4,7.2,10,10,10000,-4550,10000,-4550,2021/1/14 15:56,2021/1/14,15:56:00,57360
203,1.6,4.4,7.2,10,12.8,10,10000,-4550,10000,-4550,2021/1/14 15:56,2021/1/14,15:56:00,57360
204,4.4,7.2,10,12.8,21.3,10,10800,-4750,11000,-4550,2021/1/14 15:58,2021/1/14,15:58:00,57480
205,7.2,10,12.8,21.3,22.7,10,10100,-4950,10300,-4750,2021/1/14 15:59,2021/1/14,15:59:00,57540
206,10,12.8,21.3,22.7,26.9,10,10100,-4950,10300,-4750,2021/1/14 16:00,2021/1/14,16:00:00,57600
207,12.8,21.3,22.7,26.9,31.1,10,9600,-4950,9800,-4750,2021/1/14 16:01,2021/1/14,16:01:00,57660
208,21.3,22.7,26.9,31.1,35.3,10,8900,-5150,9100,-4950,2021/1/14 16:01,2021/1/14,16:01:00,57660
209,22.7,26.9,31.1,35.3,38.1,10,8700,-5350,8900,-5150,2021/1/14 16:02,2021/1/14,16:02:00,57720
210,26.9,31.1,35.3,38.1,40.9,10,7700,-5850,8200,-5350,2021/1/14 16:03,2021/1/14,16:03:00,57780
211,31.1,35.3,38.1,40.9,40.9,10,7200,-6350,7700,-5850,2021/1/14 16:04,2021/1/14,16:04:00,57840
212,35.3,38.1,40.9,40.9,43.8,10,10000,-4550,7200,-6350,2021/1/14 16:05,2021/1/14,16:05:00,57900
213,38.1,40.9,40.9,43.8,46.6,10,10000,-4550,7000,-6500,2021/1/14 16:07,2021/1/14,16:07:00,58020
214,40.9,40.9,43.8,46.6,50.8,10,8000,-6000,8500,-5500,2021/1/14 16:07,2021/1/14,16:07:00,58020
215,5.8,3,0,357.3,350.3,10,10200,-5000,10000,-5000,2021/1/14 16:48,2021/1/14,16:48:00,60480
216,3,0,357.3,350.3,347.5,10,12250,-5000,12050,-5000,2021/1/14 16:48,2021/1/14,16:48:00,60480
217,0,357.3,350.3,347.5,344.7,10,12450,-5000,12250,-5000,2021/1/14 16:49,2021/1/14,16:49:00,60540
