,0
388,-191.60068034993492
389,-185.7132827770604
390,-191.1512491529941
391,-172.90831936743632
392,-168.70021052547813
393,-176.3265648211683
394,-171.23146081800866
395,-166.81891850451137
396,-175.28356781783899
397,-182.96864993829828
398,-176.9916618360405
399,-172.56245429770277
