ddpg_1,ddpg_0,td3,sac,ddpg_0_1
-431.0201629,-1393.58697,-1482.303457,-950.2342023,-1492.803722
-448.7529811,-1380.946035,-1486.816386,-941.9784342,-1492.204988
-463.4570563,-1368.463596,-1493.620157,-935.7427566,-1492.346505
-478.920604,-1356.064567,-1493.881674,-939.6021233,-1492.500022
-467.6350463,-1342.522734,-1490.918512,-934.1675458,-1492.341871
-454.2719077,-1329.116735,-1482.412314,-941.3606596,-1491.348915
-445.5070164,-1318.831981,-1487.25738,-934.317044,-1490.939762
-425.2273368,-1308.172666,-1338.725202,-930.675474,-1475.718306
-407.5969112,-1296.414945,-1354.856051,-914.8002067,-1463.63208
-392.0881002,-1284.758478,-1355.392101,-910.6025108,-1452.808082
-392.7290343,-1273.239996,-1369.153921,-910.0082193,-1444.442666
-378.0533811,-1261.791586,-1375.049606,-906.1021715,-1437.50336
-375.0620492,-1252.600696,-1387.451306,-1001.760842,-1432.498155
-372.9426902,-1240.085433,-1390.347104,-988.1934186,-1428.28305
-379.3699759,-1228.952883,-1403.706523,-996.5446643,-1425.825397
-391.3145531,-1219.083671,-1263.772571,-985.558024,-1409.620114
-401.594572,-1208.291363,-1290.371815,-974.3390675,-1397.695285
-416.8838478,-1196.213714,-1293.828247,-1060.622975,-1387.308581
-399.174732,-1187.71141,-1304.662519,-1039.373914,-1379.043975
-382.4552761,-1175.852956,-1312.157811,-1023.531045,-1372.355358
-381.5453493,-1166.735743,-1325.953536,-1006.975377,-1367.715176
-367.7088024,-1156.332476,-1333.248356,-994.6271126,-1364.268494
-355.7613583,-1146.122553,-1331.824502,-983.5071903,-1361.024095
-332.280805,-1135.96682,-1336.435252,-961.035285,-1358.565211
-373.4299829,-1125.937288,-1339.278953,-952.762137,-1356.636585
-373.6609356,-1117.394409,-1342.278648,-939.9566481,-1355.200791
-349.2890412,-1107.501806,-1347.869957,-934.5437094,-1354.467708
-330.7459331,-1097.705613,-1342.666122,-925.7436567,-1353.287549
-322.5597667,-1089.168442,-1208.51493,-917.3359613,-1338.810287
-339.8202483,-1080.726899,-1238.612045,-911.8608312,-1328.790463
-318.2903981,-1071.253496,-1249.952888,-908.8147298,-1320.906705
-311.1740275,-1063.110492,-1262.929426,-906.9374553,-1315.108978
-305.1777202,-1053.76352,-1269.552916,-904.6180024,-1310.553371
-346.5741075,-1044.55673,-1294.511199,-997.1120323,-1308.949154
-347.3307814,-1034.129809,-1295.284467,-984.7196469,-1307.582685
-353.217402,-1027.266786,-1299.379614,-973.3257517,-1306.762378
-360.0413346,-1020.814709,-1320.389693,-1040.194228,-1308.12511
-336.774119,-1013.03711,-1339.643221,-1000.670079,-1311.276921
-327.1498912,-1004.150516,-1356.995481,-987.7960099,-1315.848777
-307.1101649,-995.4464201,-1348.721576,-964.9311134,-1319.136057
-309.0894367,-988.0224946,-1344.773382,-957.8083976,-1321.699789
-303.0970394,-979.4011194,-1363.211044,-940.3942085,-1325.850915
-308.8532116,-970.9741988,-1353.407377,-932.4547921,-1328.606561
-302.6123391,-965.1688067,-1369.636252,-914.5054545,-1332.70953
-284.655482,-959.289068,-1350.048853,-899.160114,-1334.443462
-292.8951608,-951.056541,-1331.34655,-884.1656898,-1334.133771
-324.757854,-941.6061511,-1328.751243,-879.8009049,-1333.595518
-316.9603248,-933.4718303,-1320.776167,-867.4525315,-1332.313583
-297.2967822,-925.5687092,-1312.610185,-845.295928,-1330.343243
-313.9089806,-920.1505589,-1320.663777,-856.3946682,-1329.375297
-305.7703681,-912.26068,-1313.485868,-855.6300777,-1327.786354
-334.4404414,-904.4709305,-1298.497561,-854.3742483,-1324.857475
-335.3703278,-898.6280054,-1288.007325,-832.2158258,-1321.17246
-350.9783429,-892.2071298,-1272.640671,-823.0029233,-1316.319281
-339.8737456,-884.5742968,-1266.433126,-815.0329635,-1311.330665
-367.9125642,-878.3362906,-1257.815551,-808.4845207,-1305.979154
-378.9855414,-870.8968939,-1250.737615,-812.9161549,-1300.455
-353.7505997,-863.5556726,-1277.387766,-797.6491401,-1298.148277
