,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2,a_loss
30,-0.03005666844546795,-1.0,-0.2976471185684204,-1.0,-0.29823607206344604,-0.001327201238241343,-0.03018748015165329,-1.0,-0.29823607206344604,0.005787982605397701
31,-0.03018748015165329,-1.0,-0.29823607206344604,-1.0,-0.29888227581977844,-0.001335133462079258,-0.030351659283041954,-1.0,-0.29888227581977844,0.005857054144144058
32,-0.030351659283041954,-1.0,-0.29888227581977844,-1.0,-0.2995777130126953,-0.0013451095983211155,-0.03054654970765114,-1.0,-0.2995777130126953,0.01337157841771841
33,-0.03054654970765114,-1.0,-0.2995777130126953,-1.0,-0.30031895637512207,-0.001357001184171786,-0.03076975606381893,-1.0,-0.30031895637512207,0.020695682615041733
34,-0.03076975606381893,-1.0,-0.30031895637512207,-1.0,-0.3011934459209442,-0.0013707193179961449,-0.031027937307953835,-1.0,-0.3011934459209442,0.004687197506427765
35,-0.031027937307953835,-1.0,-0.3011934459209442,-1.0,-0.3021174669265747,-0.0013866892658901489,-0.03131812810897827,-1.0,-0.3021174669265747,0.009462489746510983
36,-0.03131812810897827,-1.0,-0.3021174669265747,-1.0,-0.3030754029750824,-0.0014047774999425059,-0.03163649141788483,-1.0,-0.3030754029750824,0.007159220986068249
37,-0.03163649141788483,-1.0,-0.3030754029750824,-1.0,-0.3040667772293091,-0.0014247993583669071,-0.0319800078868866,-1.0,-0.3040667772293091,0.010335770435631275
38,-0.0319800078868866,-1.0,-0.3040667772293091,-1.0,-0.3050742745399475,-0.0014466131991544007,-0.032344620674848557,-1.0,-0.3050742745399475,0.006885460577905178
39,-0.032344620674848557,-1.0,-0.3050742745399475,-1.0,-0.30611756443977356,-0.0014700160170287343,-0.0327291265130043,-1.0,-0.30611756443977356,0.02830793708562851
40,-0.0327291265130043,-1.0,-0.30611756443977356,-1.0,-0.30719852447509766,-0.0014949761749040742,-0.03313278406858444,-1.0,-0.30719852447509766,0.018702980130910873
41,-0.03313278406858444,-1.0,-0.30719852447509766,-1.0,-0.30841517448425293,-0.0015215147620227325,-0.033564671874046326,-1.0,-0.30841517448425293,0.004729036707431078
42,-0.033564671874046326,-1.0,-0.30841517448425293,-1.0,-0.3096715211868286,-0.0015502555771850733,-0.03402237594127655,-1.0,-0.3096715211868286,0.006970208138227463
43,-0.03402237594127655,-1.0,-0.3096715211868286,-1.0,-0.31094905734062195,-0.0015811042129062144,-0.034502193331718445,-1.0,-0.31094905734062195,0.00820564292371273
44,-0.034502193331718445,-1.0,-0.31094905734062195,-1.0,-0.3122364580631256,-0.0016138756773681896,-0.035000141710042953,-1.0,-0.3122364580631256,0.007267100270837545
45,-0.035000141710042953,-1.0,-0.3122364580631256,-1.0,-0.3135398030281067,-0.0016483592127408727,-0.035513732582330704,-1.0,-0.3135398030281067,0.006768332794308662
46,-0.035513732582330704,-1.0,-0.3135398030281067,-1.0,-0.31507810950279236,-0.001684489066407762,-0.03606279939413071,-1.0,-0.31507810950279236,0.004508857615292072
47,-0.03606279939413071,-1.0,-0.31507810950279236,-1.0,-0.3166259229183197,-0.0017236680100179164,-0.03664029389619827,-1.0,-0.3166259229183197,0.0050763036124408245
48,-0.03664029389619827,-1.0,-0.3166259229183197,-1.0,-0.31817394495010376,-0.0017654992461251073,-0.03723984211683273,-1.0,-0.31817394495010376,0.00718926964327693
49,-0.03723984211683273,-1.0,-0.31817394495010376,-1.0,-0.3190906345844269,-0.0018094500362989068,-0.037793394178152084,-1.0,-0.3190906345844269,0.013504843227565289
50,-0.037793394178152084,-1.0,-0.3190906345844269,-1.0,-0.31998714804649353,-0.0018506724201053245,-0.03830944746732712,-1.0,-0.31998714804649353,0.007785074412822723
51,-0.03830944746732712,-1.0,-0.31998714804649353,-1.0,-0.3209453523159027,-0.0018896790953322154,-0.03880273550748825,-1.0,-0.3209453523159027,0.023337453603744507
52,-0.03880273550748825,-1.0,-0.3209453523159027,-1.0,-0.3219462037086487,-0.0019274789829795299,-0.03928273171186447,-1.0,-0.3219462037086487,0.006790125742554665
53,-0.03928273171186447,-1.0,-0.3219462037086487,-1.0,-0.3222910165786743,-0.0019645598351797438,-0.03968687355518341,-1.0,-0.3222910165786743,0.004889440257102251
54,-0.03968687355518341,-1.0,-0.3222910165786743,-1.0,-0.3158141076564789,-0.001994405420974819,-0.03935743123292923,-1.0,-0.3158141076564789,0.005659172311425209
55,-0.03935743123292923,-1.0,-0.3158141076564789,-1.0,-0.3109903633594513,-0.001967495021019684,-0.038632072508335114,-1.0,-0.3109903633594513,0.017420439049601555
56,-0.038632072508335114,-1.0,-0.3109903633594513,-1.0,-0.30728134512901306,-0.0019107450343270392,-0.03771158307790756,-1.0,-0.30728134512901306,0.007931670174002647
57,-0.03771158307790756,-1.0,-0.30728134512901306,-1.0,-0.3038986921310425,-0.0018405608781632964,-0.03667263686656952,-1.0,-0.3038986921310425,0.0067869871854782104
58,-0.03667263686656952,-1.0,-0.3038986921310425,-1.0,-0.30092567205429077,-0.0017635681255590157,-0.03558168560266495,-1.0,-0.30092567205429077,0.009442798793315887
59,-0.03558168560266495,-1.0,-0.30092567205429077,-1.0,-0.2985166907310486,-0.001685192418579351,-0.03450436890125275,-1.0,-0.2985166907310486,0.006048601120710373
60,-0.03450436890125275,-1.0,-0.2985166907310486,-1.0,-0.2965661585330963,-0.0016102078005894211,-0.03348124027252197,-1.0,-0.2965661585330963,0.005127429962158203
61,-0.03348124027252197,-1.0,-0.2965661585330963,-1.0,-0.2949962019920349,-0.0015411852926310418,-0.03253629803657532,-1.0,-0.2949962019920349,0.011093270033597946
62,-0.03253629803657532,-1.0,-0.2949962019920349,-1.0,-0.2937365174293518,-0.0014793193291008683,-0.03168151527643204,-1.0,-0.2937365174293518,0.007027119398117065
63,-0.03168151527643204,-1.0,-0.2937365174293518,-1.0,-0.2927476465702057,-0.0014249108377160466,-0.030922498553991318,-1.0,-0.2927476465702057,0.05159628018736839
64,-0.030922498553991318,-1.0,-0.2927476465702057,-1.0,-0.291991263628006,-0.0013778360369128412,-0.030260026454925537,-1.0,-0.291991263628006,0.007295730523765087
65,-0.030260026454925537,-1.0,-0.291991263628006,-1.0,-0.2913163900375366,-0.0013376753733070636,-0.029680375009775162,-1.0,-0.2913163900375366,0.005063017830252647
66,-0.029680375009775162,-1.0,-0.2913163900375366,-1.0,-0.2908277213573456,-0.0013032700962518629,-0.02918284945189953,-1.0,-0.2908277213573456,0.005522080697119236
67,-0.02918284945189953,-1.0,-0.2908277213573456,-1.0,-0.29050344228744507,-0.0012742906082625733,-0.028764871880412102,-1.0,-0.29050344228744507,0.006306801922619343
68,-0.028764871880412102,-1.0,-0.29050344228744507,-1.0,-0.2903178632259369,-0.0012503424743137172,-0.02842201292514801,-1.0,-0.2903178632259369,0.01473293174058199
69,-0.02842201292514801,-1.0,-0.2903178632259369,-1.0,-0.2902589440345764,-0.0012309774230027937,-0.028149714693427086,-1.0,-0.2902589440345764,0.02042296528816223
70,-0.028149714693427086,-1.0,-0.2902589440345764,-1.0,-0.2903023958206177,-0.0012157839985315045,-0.027942096814513206,-1.0,-0.2903023958206177,0.006115431431680918
71,-0.027942096814513206,-1.0,-0.2903023958206177,-1.0,-0.2904480993747711,-0.0012043240368855225,-0.027794601395726204,-1.0,-0.2904480993747711,0.006032407283782959
72,-0.027794601395726204,-1.0,-0.2904480993747711,-1.0,-0.2906813621520996,-0.001196264548607659,-0.027702290564775467,-1.0,-0.2906813621520996,0.004977344535291195
73,-0.027702290564775467,-1.0,-0.2906813621520996,-1.0,-0.29100438952445984,-0.001191283545762226,-0.027661534026265144,-1.0,-0.29100438952445984,0.005870120599865913
74,-0.027661534026265144,-1.0,-0.29100438952445984,-1.0,-0.2914045751094818,-0.0011891497595385688,-0.027668315917253494,-1.0,-0.2914045751094818,0.006785595789551735
75,-0.027668315917253494,-1.0,-0.2914045751094818,-1.0,-0.29187265038490295,-0.0011896293146308429,-0.02771860361099243,-1.0,-0.29187265038490295,0.02018463797867298
76,-0.02771860361099243,-1.0,-0.29187265038490295,-1.0,-0.292437881231308,-0.001192510384380568,-0.027812117710709572,-1.0,-0.292437881231308,0.0066456119529902935
77,-0.027812117710709572,-1.0,-0.292437881231308,-1.0,-0.2930619716644287,-0.0011977817385332087,-0.027944931760430336,-1.0,-0.2930619716644287,0.01798611879348755
78,-0.027944931760430336,-1.0,-0.2930619716644287,-1.0,-0.2937319576740265,-0.0012052477534555573,-0.028112763538956642,-1.0,-0.2937319576740265,0.004806732293218374
79,-0.028112763538956642,-1.0,-0.2937319576740265,-1.0,-0.2944660186767578,-0.001214706045831293,-0.02831401862204075,-1.0,-0.2944660186767578,0.005255918484181166
80,-0.02831401862204075,-1.0,-0.2944660186767578,-1.0,-0.2952515780925751,-0.0012260994463009693,-0.028546269983053207,-1.0,-0.2952515780925751,0.011775135062634945
81,-0.028546269983053207,-1.0,-0.2952515780925751,-1.0,-0.2960768938064575,-0.001239328339933473,-0.02880648337304592,-1.0,-0.2960768938064575,0.006626821123063564
82,-0.02880648337304592,-1.0,-0.2960768938064575,-1.0,-0.29694080352783203,-0.001254262618014249,-0.02909219264984131,-1.0,-0.29694080352783203,0.006685069762170315
83,-0.02909219264984131,-1.0,-0.29694080352783203,-1.0,-0.2978425621986389,-0.0012708036444287868,-0.02940140664577484,-1.0,-0.2978425621986389,0.006039514672011137
84,-0.02940140664577484,-1.0,-0.2978425621986389,-1.0,-0.2987903356552124,-0.0012888810260972944,-0.029733365401625633,-1.0,-0.2987903356552124,0.014863632619380951
85,-0.029733365401625633,-1.0,-0.2987903356552124,-1.0,-0.2997788190841675,-0.0013084920311875127,-0.030086982995271683,-1.0,-0.2997788190841675,0.007415845058858395
