,ACTIME,TIME,TARSTF,SGTF,TOR_P,TOR_N,DATE,ss2,time_interval
108,1/8/2020 05:33:51.64,05:33:51,20,2.3,8000,-5000,2020/8/1,27322431,63
109,1/8/2020 05:35:03.46,05:35:03,20,3.7,8000,-5000,2020/8/1,27322503,72
110,1/8/2020 05:36:27.59,05:36:27,20,3.7,8000,-5000,2020/8/1,27322587,84
111,1/8/2020 05:37:03.13,05:37:03,20,2.3,8000,-5000,2020/8/1,27322623,36
112,1/8/2020 05:37:30.26,05:37:30,20,342.6,8000,-5000,2020/8/1,27322650,27
113,1/8/2020 05:38:06.46,05:38:06,20,344.0,8000,-5000,2020/8/1,27322686,36
114,1/8/2020 05:39:00.45,05:39:00,20,345.4,8000,-4000,2020/8/1,27322740,54
115,1/8/2020 05:40:03.25,05:40:03,20,344.0,8000,-4000,2020/8/1,27322803,63
116,1/8/2020 05:41:07.04,05:41:07,20,345.4,8000,-4000,2020/8/1,27322867,64
117,1/8/2020 05:42:18.04,05:42:18,20,348.2,8000,-4000,2020/8/1,27322938,71
118,1/8/2020 05:44:18.47,05:44:18,20,338.3,8000,-3000,2020/8/1,27323058,120
119,1/8/2020 05:44:45.12,05:44:45,20,348.2,8000,-3000,2020/8/1,27323085,27
120,1/8/2020 05:45:21.23,05:45:21,20,345.4,8000,-3000,2020/8/1,27323121,36
121,1/8/2020 05:46:15.25,05:46:15,20,348.2,8000,-3000,2020/8/1,27323175,54
122,1/8/2020 05:47:18.1,05:47:18,20,344.0,8000,-3000,2020/8/1,27323238,63
123,1/8/2020 05:48:21.35,05:48:21,20,352.5,8000,-3000,2020/8/1,27323301,63
124,1/8/2020 05:49:33.38,05:49:33,20,359.5,8000,-3000,2020/8/1,27323373,72
125,1/8/2020 05:51:33.43,05:51:33,20,359.5,8000,-3000,2020/8/1,27323493,120
126,1/8/2020 05:52:00.49,05:52:00,20,3.7,8000,-5000,2020/8/1,27323520,27
127,1/8/2020 05:52:36.5,05:52:36,20,2.3,8000,-5000,2020/8/1,27323556,36
128,1/8/2020 05:53:30.25,05:53:30,20,9.4,8000,-5000,2020/8/1,27323610,54
129,1/8/2020 05:54:33.43,05:54:33,20,16.5,7000,-5000,2020/8/1,27323673,63
130,1/8/2020 05:55:36.03,05:55:36,20,13.6,7000,-5000,2020/8/1,27323736,63
131,1/8/2020 05:56:48.43,05:56:48,20,16.5,7000,-5000,2020/8/1,27323808,72
132,1/8/2020 05:58:48.07,05:58:48,20,19.3,7000,-5000,2020/8/1,27323928,120
133,1/8/2020 05:59:16.05,05:59:16,20,20.7,7000,-5000,2020/8/1,27323956,28
134,1/8/2020 05:59:51.4,05:59:51,20,15.0,8000,-4000,2020/8/1,27323991,35
135,1/8/2020 06:00:45.35,06:00:45,20,23.5,8000,-4000,2020/8/1,27324045,54
136,1/8/2020 06:01:48.79,06:01:48,20,20.7,8000,-4000,2020/8/1,27324108,63
137,1/8/2020 06:02:51.33,06:02:51,20,22.1,8000,-4000,2020/8/1,27324171,63
138,1/8/2020 06:04:04.21,06:04:04,20,27.7,8000,-4000,2020/8/1,27324244,73
139,1/8/2020 06:06:04.13,06:06:04,20,27.7,8000,-5000,2020/8/1,27324364,120
140,1/8/2020 06:06:31.59,06:06:31,20,24.9,8000,-5000,2020/8/1,27324391,27
141,1/8/2020 06:07:07.2,06:07:07,20,15.0,8000,-4000,2020/8/1,27324427,36
142,1/8/2020 06:08:01.43,06:08:01,20,24.9,8000,-4000,2020/8/1,27324481,54
143,1/8/2020 06:09:04.11,06:09:04,20,24.9,8000,-4000,2020/8/1,27324544,63
144,1/8/2020 06:10:06.18,06:10:06,20,27.7,8000,-4000,2020/8/1,27324606,62
145,1/8/2020 06:11:18.43,06:11:18,20,23.5,8000,-4000,2020/8/1,27324678,72
146,1/8/2020 06:13:18.3,06:13:18,20,29.2,8000,-5000,2020/8/1,27324798,120
147,1/8/2020 06:13:45.35,06:13:45,20,27.7,8000,-5000,2020/8/1,27324825,27
148,1/8/2020 06:15:15.57,06:15:15,20,26.3,8000,-5000,2020/8/1,27324915,90
149,1/8/2020 06:16:18.29,06:16:18,20,24.9,8000,-5000,2020/8/1,27324978,63
150,1/8/2020 06:17:21.35,06:17:21,20,30.6,8000,-5000,2020/8/1,27325041,63
151,1/8/2020 06:18:33,06:18:33,20,29.2,8000,-5000,2020/8/1,27325113,72
152,1/8/2020 06:20:33.1,06:20:33,20,29.2,8000,-5000,2020/8/1,27325233,120
153,1/8/2020 06:21:00.03,06:21:00,20,26.3,8000,-5000,2020/8/1,27325260,27
154,1/8/2020 06:21:36.1,06:21:36,20,30.6,8000,-5000,2020/8/1,27325296,36
155,1/8/2020 06:22:30.48,06:22:30,20,24.9,8000,-5000,2020/8/1,27325350,54
156,1/8/2020 06:23:33,06:23:33,20,17.9,8000,-5000,2020/8/1,27325413,63
157,1/8/2020 06:24:36.09,06:24:36,20,24.9,8000,-4000,2020/8/1,27325476,63
158,1/8/2020 06:25:48.54,06:25:48,20,32.0,8000,-4000,2020/8/1,27325548,72
159,1/8/2020 06:27:49.08,06:27:49,20,32.0,8000,-4000,2020/8/1,27325669,121
160,1/8/2020 06:28:15.45,06:28:15,20,29.2,8000,-4000,2020/8/1,27325695,26
